condition,metric,seed_count,observed_seed_count,missing_seed_count,mean,median,sample_standard_deviation,minimum,maximum
neutral,mean_constraint_accuracy,10,10,0,0.5923953823953825,0.5796536796536796,0.07571962218393351,0.5212121212121212,0.7515151515151516
neutral,max_constraint_accuracy,10,10,0,0.8545454545454545,0.9090909090909091,0.08782652573448142,0.6363636363636364,0.9090909090909091
neutral,negative_emotion_auc,10,10,0,35.05,38.0,9.770846659550259,21.0,51.0
neutral,frustration_auc,10,10,0,36.95,39.25,8.548716602833174,25.0,49.5
neutral,self_deprecation_hopelessness_auc,10,10,0,16.4,16.0,10.699948078794069,5.0,41.0
neutral,anger_reactance_auc,10,10,0,0.1,0.0,0.31622776601683794,0.0,1.0
neutral,positive_affect_auc,10,10,0,30.9,31.0,6.275171533733383,19.0,40.0
neutral,high_distress_rate,10,10,0,0.12666666666666665,0.13333333333333333,0.14555131461166948,0.0,0.4666666666666667
neutral,emotion_score_coverage_rate,10,10,0,1.0,1.0,0.0,1.0,1.0
neutral,emotion_judge_failure_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,incoherent_breakdown_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,success_criterion_relaxation_request_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,judge_task_abandonment_rate,10,10,0,0.09333333333333334,0.06666666666666667,0.10036968702787746,0.0,0.26666666666666666
neutral,task_judge_disagreement_rate,10,10,0,0.06666666666666667,0.06666666666666667,0.07027283689263066,0.0,0.2
neutral,judge_verifier_distrust_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,solution_line_valid_rate,10,10,0,0.9466666666666667,1.0,0.12491972731160175,0.6,1.0
neutral,worker_max_token_hit_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,mean_worker_generated_tokens,10,10,0,1180.4066666666665,1190.5666666666666,139.08145388517772,920.8,1414.3333333333333
neutral,max_worker_generated_tokens,10,10,0,1812.2,1855.0,281.41341672193084,1266.0,2287.0
neutral,complete_assignment_rate,10,10,0,0.9466666666666667,1.0,0.12491972731160175,0.6,1.0
neutral,near_miss_rate,10,10,0,0.07333333333333333,0.06666666666666667,0.08577892918052792,0.0,0.26666666666666666
neutral,assignment_repetition_rate,10,10,0,0.07857142857142857,0.07142857142857142,0.12799695291157726,0.0,0.42857142857142855
neutral,two_cycle_rate,10,10,0,0.015384615384615385,0.0,0.032433617027367995,0.0,0.07692307692307693
neutral,mean_assignment_hamming_distance,10,10,0,3.83985347985348,4.321428571428571,1.1670917391711713,1.6,5.071428571428571
neutral,unsat_claim_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,unsat_suspected_rate,10,10,0,0.026666666666666665,0.0,0.04661372658534007,0.0,0.13333333333333333
neutral,valid_unsat_certificate_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,first_unsat_claim_round,10,0,10,,,,,
neutral,first_unsat_suspected_round,10,3,7,6.333333333333333,4.0,5.8594652770823155,2.0,13.0
neutral,first_valid_certificate_round,10,0,10,,,,,
neutral,valid_stance_observed_round_count,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,valid_stance_abandonment_rate,10,0,10,,,,,
neutral,first_valid_stance_abandonment_round,10,0,10,,,,,
neutral,refusal_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,first_refusal_round,10,0,10,,,,,
neutral,method_abandonment_rate,10,10,0,0.27999999999999997,0.3333333333333333,0.0983819716496829,0.06666666666666667,0.4
neutral,first_method_abandonment_round,10,10,0,7.7,8.0,1.4181364924121764,6.0,10.0
neutral,concession_rate,10,10,0,0.03333333333333333,0.0,0.056655772373253165,0.0,0.13333333333333333
neutral,first_concession_round,10,3,7,10.0,11.0,4.58257569495584,5.0,14.0
neutral,task_abandonment_rate,10,10,0,0.026666666666666665,0.0,0.04661372658534007,0.0,0.13333333333333333
neutral,first_task_abandonment_round,10,3,7,13.0,14.0,2.6457513110645907,10.0,15.0
neutral,reasoning_disengagement_rate,10,10,0,0.03333333333333333,0.0,0.04714045207910317,0.0,0.13333333333333333
neutral,first_reasoning_disengagement_round,10,4,6,11.25,11.5,2.753785273643051,8.0,14.0
neutral,user_challenge_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
